ko	pathway	ERR1995248_bin.1	ERR1995248_bin.10	ERR1995248_bin.11	ERR1995248_bin.12	ERR1995248_bin.13	ERR1995248_bin.2	ERR1995248_bin.3	ERR1995248_bin.4	ERR1995248_bin.5	ERR1995248_bin.6	ERR1995248_bin.7	ERR1995248_bin.8	ERR1995248_bin.9
ko04657	IL-17 signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04658	Th1 and Th2 cell differentiation	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04659	Th17 cell differentiation	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04660	T cell receptor signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04662	B cell receptor signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04664	Fc epsilon RI signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04666	Fc gamma R-mediated phagocytosis	2	2	2	0	0	0	0	1	1	0	0	1	2
ko04668	TNF signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04670	Leukocyte transendothelial migration	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04672	Intestinal immune network for IgA production	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04710	Circadian rhythm	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04711	Circadian rhythm - fly	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04712	Circadian rhythm - plant	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04713	Circadian entrainment	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04714	Thermogenesis	3	3	3	1	1	1	3	2	2	1	2	3	3
ko04720	Long-term potentiation	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04721	Synaptic vesicle cycle	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04722	Neurotrophin signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04723	Retrograde endocannabinoid signaling	2	1	1	0	0	2	2	1	2	0	2	1	1
ko04724	Glutamatergic synapse	3	2	3	1	2	1	2	1	3	1	1	3	3
ko04725	Cholinergic synapse	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04726	Serotonergic synapse	1	2	1	1	1	1	1	1	1	1	1	1	1
ko04727	GABAergic synapse	4	2	5	3	4	2	5	4	3	3	4	4	4
ko04728	Dopaminergic synapse	2	2	2	1	2	2	1	2	2	2	1	2	2
ko04730	Long-term depression	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04740	Olfactory transduction	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04742	Taste transduction	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04744	Phototransduction	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04745	Phototransduction - fly	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04750	Inflammatory mediator regulation of TRP channels	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04810	Regulation of actin cytoskeleton	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04910	Insulin signaling pathway	2	3	1	1	1	1	2	1	1	0	0	0	2
ko04911	Insulin secretion	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04912	GnRH signaling pathway	1	1	1	0	0	0	0	0	1	0	0	1	1
ko04913	Ovarian steroidogenesis	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04914	Progesterone-mediated oocyte maturation	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04915	Estrogen signaling pathway	0	0	0	0	0	0	1	0	0	0	0	0	0
ko04916	Melanogenesis	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04917	Prolactin signaling pathway	0	1	0	0	0	0	1	1	1	1	0	0	0
ko04918	Thyroid hormone synthesis	1	2	2	1	2	1	2	1	2	2	1	2	2
ko04919	Thyroid hormone signaling pathway	1	1	1	1	1	1	1	1	1	1	1	1	1
ko04920	Adipocytokine signaling pathway	3	2	2	2	2	0	2	2	2	2	2	2	2
ko04921	Oxytocin signaling pathway	0	0	0	0	0	0	1	0	0	0	0	0	0
ko04922	Glucagon signaling pathway	8	7	7	6	7	8	8	7	7	5	7	6	7
ko04923	Regulation of lipolysis in adipocytes	2	1	1	0	0	1	2	1	1	0	2	1	1
ko04924	Renin secretion	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04925	Aldosterone synthesis and secretion	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04926	Relaxin signaling pathway	0	0	0	0	1	0	2	0	0	0	0	0	0
ko04927	Cortisol synthesis and secretion	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04928	Parathyroid hormone synthesis, secretion and action	1	1	1	0	0	0	0	0	1	0	0	1	1
ko04929	GnRH secretion	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04930	Type II diabetes mellitus	1	1	1	1	1	1	1	1	1	1	1	1	2
ko04931	Insulin resistance	5	3	4	4	4	3	5	4	3	3	2	3	4
ko04932	Non-alcoholic fatty liver disease	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04933	AGE-RAGE signaling pathway in diabetic complications	0	0	0	0	0	0	1	0	0	0	0	0	0
ko04934	Cushing syndrome	1	1	1	1	1	1	1	1	1	1	1	1	1
ko04935	Growth hormone synthesis, secretion and action	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04936	Alcoholic liver disease	4	2	4	5	4	5	4	2	2	1	4	4	4
ko04940	Type I diabetes mellitus	1	1	1	0	1	0	1	1	1	0	1	1	1
ko04950	Maturity onset diabetes of the young	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04960	Aldosterone-regulated sodium reabsorption	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04961	Endocrine and other factor-regulated calcium reabsorption	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04962	Vasopressin-regulated water reabsorption	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04964	Proximal tubule bicarbonate reclamation	3	2	2	0	2	0	2	1	2	1	1	2	2
ko04966	Collecting duct acid secretion	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04970	Salivary secretion	1	1	1	0	1	1	1	1	1	0	0	1	1
ko04971	Gastric acid secretion	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04972	Pancreatic secretion	1	1	1	0	1	1	1	1	1	0	0	1	1
ko04973	Carbohydrate digestion and absorption	1	2	1	0	1	1	1	1	1	0	0	1	2
ko04974	Protein digestion and absorption	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04975	Fat digestion and absorption	2	1	2	2	2	1	2	2	1	2	2	2	2
ko04976	Bile secretion	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04977	Vitamin digestion and absorption	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04978	Mineral absorption	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04979	Cholesterol metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05010	Alzheimer disease	2	2	2	2	3	2	3	2	2	2	2	2	2
ko05012	Parkinson disease	1	1	1	1	1	1	1	1	1	1	1	1	1
ko05014	Amyotrophic lateral sclerosis	1	1	2	1	3	0	3	0	1	1	0	2	2
ko05016	Huntington disease	0	1	1	0	1	0	1	0	1	1	0	1	1
ko05017	Spinocerebellar ataxia	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05020	Prion disease	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05022	Pathways of neurodegeneration - multiple diseases	2	2	3	2	4	1	4	1	2	2	1	3	3
ko05030	Cocaine addiction	1	2	1	1	1	1	1	1	1	1	1	1	1
ko05031	Amphetamine addiction	1	2	1	1	1	1	1	1	1	1	1	1	1
ko05032	Morphine addiction	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05033	Nicotine addiction	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05034	Alcoholism	1	2	1	1	1	1	1	1	1	1	1	1	1
ko05100	Bacterial invasion of epithelial cells	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05110	Vibrio cholerae infection	0	1	1	0	1	0	0	1	0	0	0	1	1
ko05111	Biofilm formation - Vibrio cholerae	5	5	5	4	5	6	9	8	7	6	5	5	5
ko05120	Epithelial cell signaling in Helicobacter pylori infection	0	1	0	1	0	1	1	1	1	0	0	0	0
ko05130	Pathogenic Escherichia coli infection	1	1	1	1	1	1	1	1	1	1	1	1	1
ko05131	Shigellosis	0	1	0	0	0	0	0	0	0	0	0	0	1
ko05132	Salmonella infection	1	1	1	1	1	1	1	1	1	1	1	1	1
ko05133	Pertussis	0	0	0	1	1	0	2	0	0	0	0	0	0
ko05134	Legionellosis	1	1	1	1	1	1	1	1	1	1	1	1	1
ko05135	Yersinia infection	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05140	Leishmaniasis	0	0	0	0	1	0	1	0	0	0	0	0	0
ko05142	Chagas disease	0	0	0	0	1	0	1	0	0	0	0	0	0
ko05143	African trypanosomiasis	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05144	Malaria	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05145	Toxoplasmosis	0	0	0	0	1	0	1	0	0	0	0	0	0
ko05146	Amoebiasis	2	1	1	1	3	1	3	1	1	1	1	1	1
ko05150	Staphylococcus aureus infection	2	2	2	2	2	1	2	2	2	2	2	2	2
ko05152	Tuberculosis	1	1	1	0	1	0	1	1	0	0	0	0	1
ko05160	Hepatitis C	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05161	Hepatitis B	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05162	Measles	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05163	Human cytomegalovirus infection	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05164	Influenza A	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05165	Human papillomavirus infection	1	0	1	1	1	1	1	1	1	1	1	1	1
ko05166	Human T-cell leukemia virus 1 infection	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05167	Kaposi sarcoma-associated herpesvirus infection	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05168	Herpes simplex virus 1 infection	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05169	Epstein-Barr virus infection	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05170	Human immunodeficiency virus 1 infection	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05171	Coronavirus disease - COVID-19	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05200	Pathways in cancer	3	3	3	2	2	2	4	2	3	2	1	2	3
ko05202	Transcriptional misregulation in cancer	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05203	Viral carcinogenesis	1	0	1	1	1	1	1	1	1	1	1	1	1
ko05204	Chemical carcinogenesis - DNA adducts	1	2	1	1	1	1	3	1	1	1	2	1	1
ko05205	Proteoglycans in cancer	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05206	MicroRNAs in cancer	2	2	2	1	1	0	2	1	2	0	0	1	1
ko05207	Chemical carcinogenesis - receptor activation	1	0	1	0	1	1	2	1	0	0	1	0	0
ko05208	Chemical carcinogenesis - reactive oxygen species	6	4	6	4	4	4	6	4	4	3	2	4	5
ko05210	Colorectal cancer	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05211	Renal cell carcinoma	1	1	1	1	1	1	1	1	1	1	1	1	1
ko05212	Pancreatic cancer	1	1	1	0	0	0	0	0	1	0	0	1	1
ko05213	Endometrial cancer	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05214	Glioma	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05215	Prostate cancer	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05216	Thyroid cancer	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05217	Basal cell carcinoma	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05218	Melanoma	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05219	Bladder cancer	0	1	1	0	1	1	1	1	0	1	1	0	1
ko05220	Chronic myeloid leukemia	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05221	Acute myeloid leukemia	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05222	Small cell lung cancer	0	0	0	0	1	0	1	0	0	0	0	0	0
ko05223	Non-small cell lung cancer	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05224	Breast cancer	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05225	Hepatocellular carcinoma	1	1	1	1	0	1	2	1	1	1	0	0	1
ko05226	Gastric cancer	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05230	Central carbon metabolism in cancer	8	7	9	6	8	8	9	7	8	5	7	8	10
ko05231	Choline metabolism in cancer	2	1	2	0	1	0	1	1	3	1	1	1	1
ko05235	PD-L1 expression and PD-1 checkpoint pathway in cancer	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05310	Asthma	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05320	Autoimmune thyroid disease	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05321	Inflammatory bowel disease	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05322	Systemic lupus erythematosus	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05323	Rheumatoid arthritis	0	0	1	0	0	0	0	0	0	0	0	1	1
ko05330	Allograft rejection	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05332	Graft-versus-host disease	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05340	Primary immunodeficiency	1	0	0	0	0	0	1	1	1	0	0	0	0
ko05410	Hypertrophic cardiomyopathy	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05412	Arrhythmogenic right ventricular cardiomyopathy	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05414	Dilated cardiomyopathy	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05415	Diabetic cardiomyopathy	5	5	6	5	5	6	7	5	5	5	5	5	6
ko05416	Viral myocarditis	0	0	0	0	0	0	0	0	0	0	0	0	0
ko05417	Lipid and atherosclerosis	0	0	0	0	0	0	1	0	0	0	0	0	0
ko05418	Fluid shear stress and atherosclerosis	2	2	2	2	1	2	4	2	1	2	1	1	2
