ko	pathway	ERR1995229_bin.1	ERR1995229_bin.10	ERR1995229_bin.11	ERR1995229_bin.12	ERR1995229_bin.13	ERR1995229_bin.14	ERR1995229_bin.15	ERR1995229_bin.16	ERR1995229_bin.17	ERR1995229_bin.18	ERR1995229_bin.19	ERR1995229_bin.2	ERR1995229_bin.20	ERR1995229_bin.21	ERR1995229_bin.22	ERR1995229_bin.23	ERR1995229_bin.24	ERR1995229_bin.25	ERR1995229_bin.26	ERR1995229_bin.27	ERR1995229_bin.28	ERR1995229_bin.29	ERR1995229_bin.3	ERR1995229_bin.30	ERR1995229_bin.31	ERR1995229_bin.32	ERR1995229_bin.33	ERR1995229_bin.34	ERR1995229_bin.35	ERR1995229_bin.36	ERR1995229_bin.37	ERR1995229_bin.38	ERR1995229_bin.39	ERR1995229_bin.4	ERR1995229_bin.40	ERR1995229_bin.41	ERR1995229_bin.5	ERR1995229_bin.6	ERR1995229_bin.7	ERR1995229_bin.8	ERR1995229_bin.9
ko00900	Terpenoid backbone biosynthesis	29	26	27	27	25	27	29	23	30	29	29	27	26	27	28	31	29	29	29	25	30	28	18	29	27	26	29	29	27	27	29	28	17	22	28	26	23	28	27	30	28
ko00901	Indole alkaloid biosynthesis	2	1	1	2	0	1	1	1	1	1	1	1	1	2	2	2	0	1	1	0	1	0	0	0	0	2	1	1	1	1	3	2	0	0	2	2	1	0	1	0	0
ko00902	Monoterpenoid biosynthesis	5	5	5	6	5	6	6	4	7	4	6	5	6	5	6	8	5	6	4	6	7	7	3	6	7	6	6	9	6	6	5	5	3	4	5	6	5	6	8	9	6
ko00903	Limonene and pinene degradation	8	9	7	8	10	7	10	5	9	5	9	8	6	8	8	9	10	10	8	10	10	4	5	10	5	8	6	7	9	9	6	9	3	6	9	3	5	9	9	7	10
ko00904	Diterpenoid biosynthesis	5	5	5	5	0	5	5	0	9	9	5	5	5	5	5	5	5	5	5	5	5	5	0	5	5	0	5	5	5	0	5	6	0	5	5	5	0	5	5	5	5
ko00905	Brassinosteroid biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00906	Carotenoid biosynthesis	13	15	13	13	14	14	13	12	13	16	13	13	13	13	13	13	14	13	13	14	15	14	14	13	13	13	14	13	13	13	14	13	11	13	13	13	14	13	13	13	14
ko00908	Zeatin biosynthesis	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	2	1	0	1	1	1	2	1	1	1	2	1	1	1
ko00909	Sesquiterpenoid and triterpenoid biosynthesis	2	0	0	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	2	1	0	2	1	2	1	1	0	1	1
ko00910	Nitrogen metabolism	19	15	15	19	14	15	18	5	19	13	17	17	15	18	19	24	16	19	25	16	18	15	14	16	14	14	18	21	15	21	16	19	10	16	18	17	14	19	14	18	17
ko00920	Sulfur metabolism	39	40	38	39	38	36	40	24	41	36	40	34	37	41	35	47	48	45	44	32	36	44	29	41	38	30	37	42	34	43	39	45	27	32	43	35	38	31	38	32	35
ko00930	Caprolactam degradation	9	9	6	13	9	12	11	2	9	9	11	9	9	10	12	14	11	12	10	10	15	5	3	9	8	10	8	6	10	11	8	11	5	6	10	6	5	13	8	7	9
ko00940	Phenylpropanoid biosynthesis	2	1	0	2	0	1	2	1	2	2	1	2	1	2	2	3	2	2	2	2	3	3	0	1	4	2	2	1	1	2	1	2	0	1	2	2	1	1	1	3	0
ko00941	Flavonoid biosynthesis	1	0	0	1	0	0	1	1	1	1	0	1	0	1	1	4	1	1	0	0	1	1	3	0	1	1	1	1	0	1	0	1	0	0	1	1	0	0	0	1	0
ko00942	Anthocyanin biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00943	Isoflavonoid biosynthesis	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	2	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
ko00944	Flavone and flavonol biosynthesis	0	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	1	0
ko00945	Stilbenoid, diarylheptanoid and gingerol biosynthesis	2	1	1	2	1	1	2	2	2	2	1	2	1	2	2	2	1	2	1	1	2	2	1	1	2	2	2	2	1	2	1	2	1	0	2	2	1	1	1	2	1
ko00950	Isoquinoline alkaloid biosynthesis	6	7	7	6	6	7	6	3	7	6	7	6	7	7	7	8	6	7	6	6	7	6	7	7	6	7	7	7	7	7	7	6	6	6	7	7	7	6	7	7	6
ko00960	Tropane, piperidine and pyridine alkaloid biosynthesis	9	11	10	11	9	9	10	6	10	9	10	9	9	10	10	10	10	9	11	12	11	9	11	10	9	9	10	10	10	11	9	10	9	10	10	10	10	11	12	10	10
ko00965	Betalain biosynthesis	1	3	0	1	3	0	1	1	1	1	1	1	0	1	1	5	4	4	0	0	1	4	0	0	4	1	1	1	1	1	1	1	0	0	2	5	0	0	1	4	3
ko00966	Glucosinolate biosynthesis	2	0	2	2	1	2	2	0	2	2	2	2	2	2	1	2	2	2	2	2	2	1	1	2	1	2	2	2	1	2	2	2	0	2	2	2	2	2	1	2	2
ko00970	Aminoacyl-tRNA biosynthesis	34	30	37	34	30	36	35	33	35	36	31	33	34	34	33	29	30	33	37	31	32	30	31	33	30	31	34	35	28	33	36	33	34	30	35	32	37	34	30	35	30
ko00980	Metabolism of xenobiotics by cytochrome P450	5	6	7	6	4	7	8	4	5	8	6	8	6	8	7	8	7	7	6	3	6	4	5	4	5	6	7	7	6	7	8	8	5	6	7	5	4	7	7	9	7
ko00981	Insect hormone biosynthesis	1	1	1	2	2	2	1	1	1	2	2	1	1	1	1	1	2	1	1	1	1	0	1	1	0	2	1	2	2	0	1	2	1	1	1	1	1	2	2	1	1
ko00982	Drug metabolism - cytochrome P450	3	4	4	3	2	5	6	3	2	6	3	6	3	5	5	5	5	5	4	2	3	3	4	2	4	4	6	5	3	4	6	5	5	3	5	4	2	5	4	7	5
ko00983	Drug metabolism - other enzymes	14	14	14	16	14	13	16	10	17	17	15	12	15	16	14	15	17	14	16	15	15	12	15	15	12	14	14	16	14	14	12	13	12	13	14	15	15	14	15	17	15
ko00984	Steroid degradation	8	10	7	9	9	7	9	7	10	8	7	8	9	8	8	9	10	9	9	7	8	10	9	8	10	8	9	9	8	9	6	10	6	9	9	8	8	8	7	8	9
ko00996	Biosynthesis of various alkaloids	0	1	0	0	1	0	1	0	1	0	1	0	0	0	0	1	1	1	1	1	1	0	0	1	0	0	0	0	1	1	1	1	0	0	1	0	0	1	1	0	1
ko00997	Biosynthesis of various other secondary metabolites	4	5	4	5	2	5	7	2	6	5	4	3	7	4	5	4	4	5	6	3	5	7	5	4	4	6	4	5	4	5	5	6	1	3	5	5	6	5	4	5	6
ko00998	Biosynthesis of various antibiotics	21	14	21	22	18	13	20	15	21	19	20	19	25	23	20	21	19	19	22	11	20	18	21	20	17	23	25	19	20	20	20	23	8	12	22	19	20	20	22	20	21
ko00999	Biosynthesis of various plant secondary metabolites	8	6	7	7	5	6	6	5	7	6	10	7	8	6	7	11	6	11	10	6	6	4	6	8	5	7	8	7	7	7	6	7	1	8	6	6	7	6	6	6	11
ko01040	Biosynthesis of unsaturated fatty acids	4	3	4	3	5	4	5	1	5	2	5	4	3	3	2	3	4	5	6	5	6	6	5	5	3	5	4	3	3	5	3	6	2	3	6	4	3	6	4	4	5
ko01051	Biosynthesis of ansamycins	8	7	6	8	8	8	6	4	6	8	7	8	10	8	6	9	8	6	7	8	9	7	6	7	8	9	9	7	8	8	8	8	4	9	6	4	6	7	7	7	9
ko01052	Type I polyketide structures	6	11	4	5	5	5	5	5	4	4	3	5	8	5	4	13	13	5	6	7	6	6	4	6	13	6	6	5	4	5	6	7	0	6	4	9	4	3	3	13	6
ko01053	Biosynthesis of siderophore group nonribosomal peptides	13	9	12	12	9	7	10	6	10	10	7	11	8	12	11	11	11	11	13	7	9	10	6	7	6	8	13	13	7	8	12	10	5	7	10	10	11	13	7	9	8
ko01054	Nonribosomal peptide structures	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
ko01055	Biosynthesis of vancomycin group antibiotics	7	8	7	7	7	5	9	4	9	7	9	5	6	6	4	9	11	10	11	7	9	9	4	11	9	6	6	7	9	10	7	9	2	6	10	5	7	10	7	5	10
ko01056	Biosynthesis of type II polyketide backbone	4	2	4	4	2	2	4	4	4	4	4	4	2	4	4	4	4	4	6	2	4	4	2	4	4	3	4	4	4	4	4	4	2	4	4	1	3	4	4	4	2
ko01057	Biosynthesis of type II polyketide products	17	13	13	15	14	19	17	10	16	16	13	13	22	19	16	15	17	16	18	20	17	16	16	17	17	14	17	18	15	19	16	21	1	18	16	10	15	16	14	17	14
ko01059	Biosynthesis of enediyne antibiotics	16	14	24	23	11	18	21	18	21	26	15	23	19	19	22	20	21	17	25	12	20	19	14	14	21	20	22	22	17	17	19	23	9	17	24	18	26	21	16	20	15
ko01100	Metabolic pathways	1575	1314	1479	1648	1375	1499	1649	1044	1643	1455	1559	1546	1518	1643	1633	1781	1634	1627	1682	1375	1644	1446	1340	1593	1489	1506	1608	1618	1539	1539	1483	1631	906	1359	1610	1496	1371	1602	1575	1611	1483
ko01110	Biosynthesis of secondary metabolites	706	574	668	749	588	682	736	477	756	664	670	703	715	729	716	785	775	770	762	604	733	690	581	735	713	656	756	729	694	728	726	775	370	587	736	664	623	729	696	719	655
ko01120	Microbial metabolism in diverse environments	526	464	492	563	485	497	552	322	564	467	535	494	480	558	552	583	530	541	597	481	538	487	439	523	496	455	510	502	515	493	478	534	273	447	526	513	433	547	530	543	509
ko01200	Carbon metabolism	193	160	178	197	177	176	203	126	199	163	200	179	166	198	196	216	187	195	204	173	190	175	160	192	179	151	183	182	190	183	181	198	108	173	194	174	163	190	191	198	184
ko01210	2-Oxocarboxylic acid metabolism	53	25	53	53	35	53	53	18	53	47	43	52	52	53	52	51	51	53	52	48	53	25	47	53	23	49	53	53	51	51	53	53	16	43	53	45	52	52	50	53	43
ko01212	Fatty acid metabolism	32	24	29	32	32	15	44	28	42	29	44	28	18	32	30	39	38	45	43	31	41	37	14	44	35	25	29	29	36	40	28	45	7	25	45	19	28	42	36	26	35
ko01220	Degradation of aromatic compounds	58	77	65	71	69	71	75	46	69	73	68	64	71	71	67	84	86	75	85	60	74	75	61	63	85	58	68	56	61	66	63	66	38	59	71	63	52	74	69	68	76
ko01230	Biosynthesis of amino acids	193	137	189	193	150	184	193	102	194	162	185	192	183	193	200	194	188	195	192	174	193	144	166	187	132	184	194	198	185	179	192	196	109	155	197	179	178	182	186	193	161
ko01232	Nucleotide metabolism	59	50	48	59	53	49	57	40	58	52	58	46	57	63	61	55	54	54	52	60	62	50	47	61	52	52	50	55	58	52	48	48	47	50	47	52	47	53	58	60	57
ko01240	Biosynthesis of cofactors	208	155	187	228	168	176	226	114	220	199	201	224	180	211	212	237	217	217	236	207	208	218	172	200	214	206	225	212	193	211	197	215	111	176	210	216	194	219	196	216	182
ko01250	Biosynthesis of nucleotide sugars	118	98	112	116	84	112	110	98	119	127	108	103	120	117	101	118	119	119	117	67	126	112	101	130	117	118	118	127	105	126	121	116	69	95	124	106	92	106	104	106	115
ko01501	beta-Lactam resistance	5	5	4	4	4	5	5	4	5	5	4	5	5	4	4	4	7	5	2	4	4	5	4	6	2	4	5	5	7	4	5	4	2	7	3	5	3	4	5	5	4
ko01502	Vancomycin resistance	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	6	7	7	6	6	6	7	7	7	7	7	7
ko01503	Cationic antimicrobial peptide (CAMP) resistance	8	8	8	7	6	8	7	9	7	8	7	9	9	7	8	10	8	9	11	5	8	7	8	7	10	8	9	8	6	8	9	9	7	8	8	8	7	6	7	7	8
ko01521	EGFR tyrosine kinase inhibitor resistance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko01522	Endocrine resistance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko01523	Antifolate resistance	3	3	4	3	3	2	4	2	4	2	2	4	2	3	4	4	4	3	2	4	4	4	3	2	3	4	3	3	2	4	2	3	1	4	3	4	1	2	2	3	4
ko01524	Platinum drug resistance	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
ko02010	ABC transporters	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ko02020	Two-component system	22	18	19	19	19	17	16	13	19	19	26	17	21	20	19	23	25	16	25	15	20	27	20	21	18	19	21	25	20	16	16	18	13	17	17	16	16	22	15	24	18
ko02024	Quorum sensing	19	12	17	18	12	13	19	9	19	15	17	18	14	18	17	18	20	19	16	11	17	15	14	15	14	14	19	17	16	17	13	19	9	15	20	17	16	18	16	15	15
ko02025	Biofilm formation - Pseudomonas aeruginosa	9	5	8	8	4	4	9	4	8	9	7	8	5	8	8	8	8	9	8	4	7	8	5	6	7	5	9	8	7	7	6	8	5	7	8	6	8	8	7	7	7
ko02026	Biofilm formation - Escherichia coli	3	2	2	4	2	2	4	2	3	2	4	4	4	3	4	2	3	4	1	2	4	2	2	4	2	4	4	4	4	3	3	3	2	3	3	4	2	4	4	4	2
ko02030	Bacterial chemotaxis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko02040	Flagellar assembly	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko02060	Phosphotransferase system (PTS)	11	1	11	22	1	11	22	11	21	1	43	21	2	11	51	1	3	17	1	1	16	1	1	22	10	21	22	22	45	13	10	10	1	4	10	28	10	36	51	21	1
ko03008	Ribosome biogenesis in eukaryotes	1	1	1	1	1	1	1	0	1	1	0	0	0	1	1	1	1	1	0	0	1	1	0	1	0	1	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1
ko03010	Ribosome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03013	Nucleocytoplasmic transport	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03015	mRNA surveillance pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03018	RNA degradation	3	3	3	3	3	2	3	3	3	3	3	3	2	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	2	3	3	2
ko03020	RNA polymerase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03022	Basal transcription factors	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03030	DNA replication	3	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2
ko03040	Spliceosome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03050	Proteasome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03060	Protein export	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03070	Bacterial secretion system	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03230	Viral genome structure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03240	Viral replication	1	1	0	0	0	0	1	0	0	1	1	0	0	1	1	1	0	0	0	1	0	1	0	0	1	0	0	0	1	1	0	0	1	0	0	1	0	0	1	1	0
ko03250	Viral life cycle - HIV-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03320	PPAR signaling pathway	5	5	6	5	7	6	9	2	9	4	9	6	3	5	5	7	7	9	8	6	7	7	5	9	6	5	5	5	6	7	3	9	4	5	9	4	5	9	6	3	7
ko03410	Base excision repair	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ko03420	Nucleotide excision repair	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ko03430	Mismatch repair	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ko03440	Homologous recombination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03450	Non-homologous end-joining	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03460	Fanconi anemia pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04010	MAPK signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04011	MAPK signaling pathway - yeast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04012	ErbB signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04013	MAPK signaling pathway - fly	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04014	Ras signaling pathway	1	1	0	0	1	0	1	1	1	1	1	1	1	1	0	1	1	2	0	1	1	1	1	1	1	1	0	1	1	0	0	1	1	0	1	1	1	1	1	1	0
ko04015	Rap1 signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04016	MAPK signaling pathway - plant	1	1	1	1	1	1	1	0	1	2	1	1	1	1	1	1	2	1	2	1	2	2	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1
ko04020	Calcium signaling pathway	0	1	0	0	1	1	1	0	1	0	1	0	1	0	1	0	0	1	0	1	1	1	1	0	1	1	1	1	0	1	0	1	0	1	0	1	0	0	1	0	1
ko04022	cGMP-PKG signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04024	cAMP signaling pathway	1	1	0	0	2	0	2	1	2	1	2	1	1	1	0	1	1	2	1	2	2	2	1	2	1	1	0	1	1	1	0	2	1	0	2	1	1	2	1	1	1
ko04060	Cytokine-cytokine receptor interaction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04061	Viral protein interaction with cytokine and cytokine receptor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04062	Chemokine signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04064	NF-kappa B signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04066	HIF-1 signaling pathway	8	8	7	8	7	6	7	9	7	6	7	7	5	8	7	6	5	7	7	6	7	7	8	6	7	4	4	8	7	7	8	8	5	5	8	5	6	6	6	7	5
ko04068	FoxO signaling pathway	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
ko04070	Phosphatidylinositol signaling system	3	6	3	3	6	3	3	1	2	2	2	2	4	3	4	4	4	5	2	3	3	5	1	2	5	2	3	2	1	1	2	3	5	3	3	2	1	1	2	2	1
ko04071	Sphingolipid signaling pathway	2	3	1	1	5	1	3	4	3	1	4	3	2	2	3	2	1	3	2	3	2	3	5	2	3	3	2	4	2	3	0	3	2	3	2	3	1	1	4	2	1
ko04072	Phospholipase D signaling pathway	3	3	1	2	4	3	4	2	4	2	4	2	3	3	3	3	3	4	2	3	4	4	4	3	4	4	3	4	2	3	1	4	1	3	3	4	2	2	4	3	1
ko04075	Plant hormone signal transduction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04080	Neuroactive ligand-receptor interaction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04110	Cell cycle	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04111	Cell cycle - yeast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04112	Cell cycle - Caulobacter	3	2	3	3	2	2	3	2	3	3	3	3	3	3	3	2	2	3	3	3	3	2	2	2	2	3	3	3	3	3	2	3	3	2	3	3	2	3	3	3	2
ko04113	Meiosis - yeast	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04114	Oocyte meiosis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04115	p53 signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04120	Ubiquitin mediated proteolysis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04122	Sulfur relay system	9	10	8	10	9	8	12	9	10	9	12	10	10	9	11	8	9	10	12	11	9	9	10	11	8	10	9	11	12	9	9	9	8	9	9	12	9	11	11	11	11
ko04130	SNARE interactions in vesicular transport	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04136	Autophagy - other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04137	Mitophagy - animal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04138	Autophagy - yeast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04139	Mitophagy - yeast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04140	Autophagy - animal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04141	Protein processing in endoplasmic reticulum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04142	Lysosome	0	3	3	1	6	9	3	2	3	1	1	3	2	2	1	12	9	2	2	1	9	3	3	2	4	5	1	5	1	5	2	3	0	9	1	10	4	2	1	4	1
ko04144	Endocytosis	1	1	0	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	0	1	1	0	1	1	1	1	1	1	0
ko04145	Phagosome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04146	Peroxisome	8	9	9	9	11	10	12	5	12	9	12	8	7	7	10	7	9	9	15	10	12	7	11	13	6	9	8	11	11	11	8	9	5	12	11	9	7	12	14	9	11
ko04150	mTOR signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04151	PI3K-Akt signaling pathway	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ko04152	AMPK signaling pathway	2	2	3	2	2	2	1	2	2	1	2	2	1	2	1	1	1	2	2	2	1	1	3	1	1	1	1	2	2	1	2	2	1	1	2	1	3	2	2	1	1
ko04210	Apoptosis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04211	Longevity regulating pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
